item,itemLabel
http://www.wikidata.org/entity/Q322842,Luke Greenfield
http://www.wikidata.org/entity/Q323066,William Gaines
http://www.wikidata.org/entity/Q323940,Robert Gliński
http://www.wikidata.org/entity/Q324366,Shaun Cassidy
http://www.wikidata.org/entity/Q325805,David Leland
http://www.wikidata.org/entity/Q325848,Witold Leszczyński
http://www.wikidata.org/entity/Q326681,Joseph Stefano
http://www.wikidata.org/entity/Q326918,Aki Aleong
http://www.wikidata.org/entity/Q327407,Bi Feiyu
http://www.wikidata.org/entity/Q327526,Tim Winton
http://www.wikidata.org/entity/Q327726,Jean-Pierre Bekolo
http://www.wikidata.org/entity/Q328723,Andrew Stanton
http://www.wikidata.org/entity/Q328745,Harry Thompson
http://www.wikidata.org/entity/Q329166,Arturo Brachetti
http://www.wikidata.org/entity/Q329807,Craig T. Nelson
http://www.wikidata.org/entity/Q329744,Martin Short
http://www.wikidata.org/entity/Q329958,Tommy O'Haver
http://www.wikidata.org/entity/Q330447,James Rado
http://www.wikidata.org/entity/Q332043,Sidney Buchman
http://www.wikidata.org/entity/Q332127,Vladimir Plavevski
http://www.wikidata.org/entity/Q332670,Marty Feldman
http://www.wikidata.org/entity/Q332876,J. P. Dutta
http://www.wikidata.org/entity/Q333004,John Buchan
http://www.wikidata.org/entity/Q333251,Peter Benchley
http://www.wikidata.org/entity/Q333713,Alistair MacLean
http://www.wikidata.org/entity/Q333643,Satoshi Kon
http://www.wikidata.org/entity/Q335467,"Edward George, Baron George"
http://www.wikidata.org/entity/Q339196,Kenneth Cook
http://www.wikidata.org/entity/Q340036,Mani Haghighi
http://www.wikidata.org/entity/Q343299,Francisco Rabal
http://www.wikidata.org/entity/Q344758,Gig Young
http://www.wikidata.org/entity/Q344854,Timur Bekmambetov
http://www.wikidata.org/entity/Q345217,Lucio Fulci
http://www.wikidata.org/entity/Q345955,Daniel Hugh Kelly
http://www.wikidata.org/entity/Q346411,Michael Landon
http://www.wikidata.org/entity/Q346535,Carsten Byhring
http://www.wikidata.org/entity/Q347879,Vanessa Redgrave
http://www.wikidata.org/entity/Q348383,Demofilo Fidani
http://www.wikidata.org/entity/Q348364,Giuliano Carnimeo
http://www.wikidata.org/entity/Q348576,Alfonso Balcázar
http://www.wikidata.org/entity/Q349619,Philip Ridley
http://www.wikidata.org/entity/Q350780,John Randolph Bray
http://www.wikidata.org/entity/Q351168,Terrance Dicks
http://www.wikidata.org/entity/Q352356,Gunther Gerzs
http://www.wikidata.org/entity/Q353640,David Hewlett
http://www.wikidata.org/entity/Q353755,Tom Arnold
http://www.wikidata.org/entity/Q355125,Harry Morgan
http://www.wikidata.org/entity/Q355300,Richard Curtis
http://www.wikidata.org/entity/Q355791,Marius Holst
http://www.wikidata.org/entity/Q355879,Robert Bloch
http://www.wikidata.org/entity/Q356357,Mark Haddon
http://www.wikidata.org/entity/Q356546,Max Aub
http://www.wikidata.org/entity/Q356828,Edwin Torres
http://www.wikidata.org/entity/Q356965,Andrey Kurkov
http://www.wikidata.org/entity/Q357627,Pete Docter
http://www.wikidata.org/entity/Q358188,Jeffery Deaver
http://www.wikidata.org/entity/Q358990,James Hong
http://www.wikidata.org/entity/Q359177,Elon Gold
http://www.wikidata.org/entity/Q359245,Veikko Aaltonen
http://www.wikidata.org/entity/Q359665,David Walliams
http://www.wikidata.org/entity/Q360737,Andrew Niccol
http://www.wikidata.org/entity/Q360642,Kevin Williamson
http://www.wikidata.org/entity/Q361443,Bud Yorkin
http://www.wikidata.org/entity/Q361617,E. B. White
http://www.wikidata.org/entity/Q362353,Vincent Gallo
http://www.wikidata.org/entity/Q362746,Géza Bereményi
http://www.wikidata.org/entity/Q363989,Paul Schrader
http://www.wikidata.org/entity/Q364153,Gerard Reve
http://www.wikidata.org/entity/Q364582,Tullio Kezich
http://www.wikidata.org/entity/Q365090,Sam Simon
http://www.wikidata.org/entity/Q366070,George William Russell
http://www.wikidata.org/entity/Q366195,Kevin Gage
http://www.wikidata.org/entity/Q366266,Clive Cussler
http://www.wikidata.org/entity/Q366593,Cameron Duncan
